Accession,Consensus_Serotype
AY154458,2
EF059720,1
EF059728,9
EF059730,12
FJ183374,8
FJ969719,1
GU390658,12
JF443166,9
JN255156,26
JN255862,2
JN255872,2
JN255882,4
JN255892,4
JN255902,9
JN255912,9
JN255922,2
JN255932,2
JN255942,4
JN255952,9
JN255962,9
JN546202,24
JN546203,Untyped
JN546204,Untyped
JN546205,Untyped
JN546206,24
JN546207,Untyped
JN546208,Untyped
JN546210,Untyped
JN546211,Untyped
JN671906,Untyped
JN881985,1
JQ086221,15
JQ086231,16
JQ086241,2
JQ086251,20
JQ086261,21
JQ086271,23
JQ086281,3
JQ086291,7
JQ086301,9
JQ240321,2
JQ681257,2
JQ713557,2
JQ740771,10
JQ771813,3
JQ771823,23
JQ924820,16
JX003687,9
JX272369,24
JX272379,1
JX272389,22
JX272399,23
JX272429,19
JX272439,18
JX272449,17
JX272469,15
JX272479,14
JX272489,13
JX272499,12
JX272519,10
JX272529,9
JX272539,8
JX272549,7
JX272559,6
JX272569,5
JX272579,4
JX272589,3
JX272599,2
JX399148,1
JX560413,4
JX861488,1
JX861498,1
JX889174,24
JX889180,24
JX889192,24
JX889209,24
JX889215,24
JX889218,24
KC662612,12
KC853052,16
KC879615,1
KC924402,Untyped
KF017477,Untyped
KF017478,4
KF017479,2
KF017483,2
KF017484,2
KF017485,2
KF017489,2
KF017491,2
KF017492,2
KF017494,4
KF017495,4
KF017496,4
KF017498,4
KF017499,4
KF017500,4
KF017503,4
KF017504,8
KF017506,8
KF017508,8
KF017510,12
KF017511,12
KF017512,12
KF017513,15
KF017516,16
KF017517,16
KF017518,16
KF017520,24
KF017522,Untyped
KF017523,Untyped
KF017524,Untyped
KF017525,Untyped
KF017526,Untyped
KF584172,2
KF584179,2
KF584181,2
KF584210,16
KF584217,24
KF584219,24
KF584221,Untyped
KF664103,16
KF664113,1
KF664123,1
KF664133,16
KJ019205,1
KJ577104,1
KJ577114,1
KJ577124,1
KJ736001,1
KM053258,8
KM053268,2
KM099506,1
KM099507,1
KM099508,1
KM099509,1
KM099510,1
KM099511,1
KM099512,1
KM099513,1
KM099514,1
KM099515,1
KM099518,1
KM099520,1
KM099522,1
KM233614,4
KM580413,11
KM580432,11
KM580439,11
KM580446,11
KM580454,11
KM580479,11
KM580490,11
KP196603,Untyped
KP268774,2
KP268814,Untyped
KP318788,4
KP318795,16
KP820861,8
KP820862,8
KP820863,14
KP820865,16
KP820866,16
KP820867,16
KP820869,16
KP820870,16
KP820875,1
KP820877,1
KP820878,1
KP820879,1
KP820880,1
KP820881,1
KP820882,1
KP820884,1
KP820885,1
KP820888,1
KP820889,1
KP820892,1
KP820894,1
KP820897,1
KP820898,1
KP820899,1
KP820901,1
KP820902,1
KP820904,2
KP820905,2
KP820907,2
KP820908,2
KP820912,2
KP820914,2
KP820916,2
KP820919,3
KP820920,4
KP820921,4
KP820922,4
KP820926,4
KP820927,4
KP820929,4
KP820930,4
KP820933,4
KP820936,4
KP820937,4
KP820938,4
KP820939,4
KP820940,4
KP820942,4
KP820944,4
KP820945,4
KP820947,4
KP820948,4
KP820950,4
KP820951,4
KP820953,8
KP820954,8
KP820955,8
KP820956,8
KP820957,8
KP820959,9
KP820960,9
KP820966,9
KP820967,9
KP820972,9
KP820973,9
KP820974,14
KP820975,14
KP820976,14
KP820977,14
KP820978,15
KP820979,8
KT002578,7
KU234257,1
KU569990,8
LN713671,Untyped
